timestamp,test-class,test-method,time,description,result
2021-06-08 22:01:03.289,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,1348,"[1] recordIndex=0, moment=2021/05/30 19:39, author=Prueba, text=I'm happy!",OK
2021-06-08 22:01:06.495,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative,3001,"listShoutNegative()",OK
2021-06-08 22:01:09.726,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative2,3000,"listShoutNegative2()",OK
2021-06-08 22:01:10.679,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,776,"[1] recordIndex=0",OK
2021-06-08 22:01:23.638,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,4379,"[1] recordIndex=1, author=Coyote, text=Hello I'm happy, infoSheetDate=09/06/2021, infoSheetMoney=1.51, currency=dollar, flag=true",OK
2021-06-08 22:01:25.366,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,1484,"[1] recordIndex=0, author=null, text=null, infoSheetDate=null, infoSheetMoney=null",OK
2021-06-08 22:01:26.975,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,1430,"[2] recordIndex=0, author=nigeria, text=milliondollar, infoSheetDate=hola, infoSheetMoney=10.00",OK
2021-06-08 22:01:28.632,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,1435,"[3] recordIndex=0, author=test, text=test, infoSheetDate=hola, infoSheetMoney=10.00",OK
2021-06-08 22:01:30.271,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,1455,"[4] recordIndex=0, author=a, text=prueba, infoSheetDate=10/10/2020, infoSheetMoney=0.00",OK
