timestamp,test-class,test-method,time,description,result
2021-06-04 18:14:09.921,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3952,"[1] recordIndex=0, moment=2021/06/03 11:30, author=The PSM Gang, text=Have you heard about octave?, date=2021/04/19, informationSheetMoment=2021/04/10 19:39, money=12.0 euro, flag=false",OK
2021-06-04 18:14:14.076,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3881,"[2] recordIndex=1, moment=2021/06/03 11:35, author=Astrazeneca, text=Go, vaccines, go!, date=2022/04/20, informationSheetMoment=2021/04/10 19:39, money=12.0 euro, flag=true",OK
2021-06-04 18:14:18.149,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3852,"[3] recordIndex=2, moment=2021/06/03 11:35, author=Coyote, text=So acme has a webpage..., date=2022/04/21, informationSheetMoment=2021/04/10 19:39, money=13.0 dollar, flag=false",OK
2021-06-04 18:14:22.279,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3907,"[4] recordIndex=3, moment=2021/06/03 12:30, author=indevelopers, text=Please, no mean comments on our web!, date=2022/04/15, informationSheetMoment=2021/04/10 19:39, money=24.0 dollar, flag=true",OK
2021-06-04 18:14:26.405,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3902,"[5] recordIndex=4, moment=2021/06/03 12:30, author=Github geek, text=Sonarcloud knows best, date=2022/04/16, informationSheetMoment=2021/04/10 19:39, money=2.0 euro, flag=false",OK
2021-06-04 18:14:30.609,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3994,"[6] recordIndex=5, moment=2021/06/03 12:30, author=Asunción Pereira Adolfo, text=Hi, i'm new!, date=2021/04/17, informationSheetMoment=2021/04/10 19:39, money=12.0 dollar, flag=true",OK
2021-06-04 18:14:34.299,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3451,"[7] recordIndex=6, moment=2021/06/03 12:30, author=Twitch prime, text=Cool features!, date=2022/04/18, informationSheetMoment=2021/04/10 19:39, money=12.0 dollar, flag=true",OK
2021-06-04 18:14:37.956,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative,3449,"listShoutNegative()",OK
2021-06-04 18:14:41.697,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative2,3535,"listShoutNegative2()",OK
2021-06-04 18:14:42.905,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1003,"[1] recordIndex=0",OK
