timestamp,test-class,test-method,time,description,result
2021-06-06 21:07:10.646,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,4217,"[1] recordIndex=0, moment=2021/05/24 11:30, author=The PSM Gang, text=Have you heard about octave?, timeAttribute=02-06-2021-aaanda, isFlag=true, amount=50.00, currency=EUR",OK
2021-06-06 21:07:12.423,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,1498,"[2] recordIndex=1, moment=2021/05/24 11:35, author=Astrazeneca, text=Go, vaccines, go!, timeAttribute=02-06-2021-aaanda, isFlag=true, amount=33.00, currency=PST",Expected value '02-06-2021-aaanda' in attribute 4 of record 1, but found '02-06-2021-abbbb'
2021-06-06 21:07:16.331,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3651,"[3] recordIndex=2, moment=2021/05/24 11:35, author=Coyote, text=So acme has a webpage..., timeAttribute=02-06-2021-aaaaaaaa, isFlag=true, amount=20.00, currency=EUR",OK
2021-06-06 21:07:18.075,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,1480,"[4] recordIndex=3, moment=2021/05/24 12:30, author=indevelopers, text=Please, no mean comments on our web!, timeAttribute=02-06-2021-aaaaaaaa, isFlag=true, amount=33.00, currency=EUR",Expected value '02-06-2021-aaaaaaaa' in attribute 4 of record 3, but found '02-06-2021-apainfor'
2021-06-06 21:07:22.092,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3758,"[5] recordIndex=4, moment=2021/05/24 12:30, author=Github geek, text=Sonarcloud knows best, timeAttribute=02-06-2021-aaaap, isFlag=true, amount=45.00, currency=PST",OK
2021-06-06 21:07:26.046,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3717,"[6] recordIndex=5, moment=2021/05/24 12:30, author=Asunción Pereira Adolfo, text=Hi, i'm new!, timeAttribute=02-06-2021-equisde, isFlag=true, amount=33.00, currency=EUR",OK
2021-06-06 21:07:27.556,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,1236,"[7] recordIndex=6, moment=2021/05/24 12:30, author=Twitch prime, text=02-06-2021-tuspadentro, timeAttribute=02-06-2021-tuspadentro, isFlag=true, amount=30.00, currency=PST",Expected value '02-06-2021-tuspadentro' in attribute 2 of record 6, but found 'Cool features!'
2021-06-06 21:07:31.495,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative,3698,"listShoutNegative()",OK
2021-06-06 21:07:35.367,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative2,3622,"listShoutNegative2()",OK
2021-06-06 21:07:36.676,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1050,"[1] recordIndex=0",OK
2021-06-06 21:07:37.938,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1021,"[2] recordIndex=1",OK
2021-06-06 21:07:39.196,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1013,"[3] recordIndex=2",OK
2021-06-06 21:07:40.44,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,985,"[4] recordIndex=3",OK
2021-06-06 21:07:41.726,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1020,"[5] recordIndex=4",OK
2021-06-06 21:07:42.987,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1000,"[6] recordIndex=5",OK
2021-06-06 21:07:44.298,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1040,"[7] recordIndex=6",OK
2021-06-06 21:07:59.604,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,6517,"[1] recordIndex=7, author=Coyote, text=Hello, timeAttribute=ola, amount=400.00, currency=EUR, isFlag=false",OK
2021-06-06 21:08:03.207,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,3347,"[2] recordIndex=8, author=José Mota, text=Play tennis, timeAttribute=joao, amount=400.00, currency=USD, isFlag=false",Record index 8 is out of range
2021-06-06 21:08:06.595,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,3111,"[3] recordIndex=9, author=Pablo, text=to eat, timeAttribute=pepeLu, amount=400.00, currency=EUR, isFlag=true",Record index 9 is out of range
2021-06-06 21:08:10.145,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,3294,"[4] recordIndex=10, author=Juanito, text=This is very interesting, timeAttribute=mimimi, amount=400.00, currency=USD, isFlag=false",Record index 10 is out of range
2021-06-06 21:08:41.485,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,31086,"[1] recordIndex=0, author=null, text=null, timeAttribute=null, amount=null, currency=null, isFlag=true",Cannot find 'By.name: timeAttribute'
2021-06-06 21:09:12.801,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,31025,"[2] recordIndex=0, author=nigeria, text=milliondollar, timeAttribute=null, amount=null, currency=null, isFlag=false",Cannot find 'By.name: timeAttribute'
